0,oso, 90.0, 190.0 ,7,panda,7.0,pescado,pardo,gris
1,cocodrilo, 90.0, 90.0 ,7,co,7.0,pesces,grandes, false
2,pelicano, 90.0, 12.0 ,12,frutas,12.0,peli,true, pequenas
3,leon, 15.0, 4.0 ,5,max,10.0,carne,carnivoro,grueso
4,gato, 5.0, 2.0 ,5,leo,3.0,pescado,felino,grueso
5,gdfgdklfjg, 7.0, 7.0 ,7, k,7.0,lfkh,k, true
6,a, 7.0, 7.0 ,7, a,7.0,a,a, true
7,a, 7.0, 7.0 ,7, a,7.0,a,a, true
8,a, 7.0, 7.0 ,7, a,7.0,a,a, true
9,a, 7.0, 7.0 ,7, a,7.0,a,a, true
10,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
11,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
12,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
13,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
14,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
15,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
16,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
17,a, 7.0, 7.0 ,7, 7,7.0,a,a, true
18,7, 7.0, 7.0 ,7, 7,7.0,a,a, true
19,7, 7.0, 7.0 ,7, 7,7.0,a,a, true
20,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
21,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
22,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
23,7, 7.0, 7.0 ,7, 7,7.0,8,8, true
24,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
25,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
26,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
27,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
28,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
29,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
30,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
31,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
32,7, 7.0, 7.0 ,7, 7,7.0,7,s, true
33,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
34,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
35,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
36,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
37,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
38,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
39,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
40,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
41,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
42,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
43,7, 7.0, 7.0 ,7, 7,7.0,7,7, true
44,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
45,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
46,7, 7.0, 7.0 ,7, 7,7.0,7,a, true
